Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
car_link,1.3878E-17,2.7756E-17,0.0025,0,0,0,0.31036,0.0016104,1.4988E-19,8.5178E-21,0.0016081,1.348E-21,0.0032173,0,0,0,0,0,0,package://car_model/meshes/car_link.STL,1,0.9098,0.83137,1,0,0,0,0,0,0,package://car_model/meshes/car_link.STL,,5mm木板-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Hub_link,-1.0059E-05,0.0082366,-0.0071873,0,0,0,0.0084323,2.5589E-06,-8.2589E-10,7.3689E-10,2.3651E-06,7.504E-07,2.4214E-06,0,0,0,0,0,0,package://car_model/meshes/LF_Hub_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/LF_Hub_link.STL,,轮子架-4,Origin_car2LF_Hub,,car2LF_Hub,fixed,0.106,0.1075,-0.003,0,0,0,car_link,0,0,0,,,,,,,,,,,,
LF_Wheel_link,0,0.0291348289900235,6.93889390390723E-18,0,0,0,0.0976667159877332,3.17417948796353E-05,-9.14387225326459E-22,-2.80586556949772E-22,4.32896914021948E-05,-1.16131060268526E-21,3.17417948796353E-05,0,0,0,0,0,0,package://car_model/meshes/LF_Wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/LF_Wheel_link.STL,,轮-4,Origin_LF_Hub2LF_Wheel,Axis_LF_Hub2LF_Wheel,LF_Hub2LF_Wheel,continuous,0,0.0169999999999998,-0.025,0,0,0,LF_Hub_link,0,1,0,,,,,,,,,,,,
RF_Hub_link,1.0059E-05,-0.0082366,-0.0071873,0,0,0,0.0084323,2.5589E-06,-8.2589E-10,-7.3689E-10,2.3651E-06,-7.504E-07,2.4214E-06,0,0,0,0,0,0,package://car_model/meshes/RF_Hub_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/RF_Hub_link.STL,,轮子架-1,Origin_car2RF_Hub,,car2RF_Hub,fixed,0.106,-0.1075,-0.003,0,0,0,car_link,0,0,0,,,,,,,,,,,,
RF_Wheel_link,0,-0.0291348289900234,0,0,0,0,0.0976667159877333,3.17417948796353E-05,-1.32724821511672E-21,3.55254772210564E-21,4.32896914021949E-05,-2.48749113526877E-21,3.17417948796353E-05,0,0,0,0,0,0,package://car_model/meshes/RF_Wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/RF_Wheel_link.STL,,轮-1,Origin_RF_Hub2RF_Wheel,Axis_RF_Hub2RF_Wheel,RF_Hub2RF_Wheel,continuous,0,-0.017,-0.025,0,0,0,RF_Hub_link,0,-1,0,,,,,,,,,,,,
LB_Hub_link,-1.00592687205803E-05,0.00823663928394838,-0.0071873491149865,0,0,0,0.00843232286599733,2.55893809066051E-06,-8.25890970017699E-10,7.36887028287895E-10,2.36512355178143E-06,7.50399636930142E-07,2.42141028264682E-06,0,0,0,0,0,0,package://car_model/meshes/LB_Hub_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/LB_Hub_link.STL,,轮子架-3,Origin_car2LB_Hub,,car2LB_Hub,fixed,-0.104,0.1075,-0.003,0,0,0,car_link,0,0,0,,,,,,,,,,,,
LB_Wheel_link,-2.77555756156289E-17,0.0291348289900235,1.38777878078145E-17,0,0,0,0.0976667159877332,3.17417948796353E-05,-3.80242814885347E-22,-2.27111915287599E-22,4.32896914021948E-05,2.27378507538525E-21,3.17417948796353E-05,0,0,0,0,0,0,package://car_model/meshes/LB_Wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/LB_Wheel_link.STL,,轮-3,Origin_LB_Hub2LB_Wheel,Axis_LB_Hub2LB_Wheel,LB_Hub2LB_Wheel,continuous,0,0.0170000000000003,-0.0250000000000002,0,0,0,LB_Hub_link,0,1,0,,,,,,,,,,,,
RB_Hub_link,1.0059268720497E-05,-0.00823663928394833,-0.00718734911498652,0,0,0,0.00843232286599734,2.55893809066052E-06,-8.25890970018213E-10,-7.36887028287664E-10,2.36512355178143E-06,-7.50399636930146E-07,2.42141028264682E-06,0,0,0,0,0,0,package://car_model/meshes/RB_Hub_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/RB_Hub_link.STL,,轮子架-2,Origin_car2RB_Hub,,car2RB_Hub,fixed,-0.104,-0.1075,-0.003,0,0,0,car_link,0,0,0,,,,,,,,,,,,
RB_Wheel_link,0,-0.0291348289900234,-3.46944695195361E-18,0,0,0,0.0976667159877333,3.17417948796353E-05,-2.8982947791865E-21,-1.06512557810242E-21,4.32896914021948E-05,-5.79343119752682E-22,3.17417948796353E-05,0,0,0,0,0,0,package://car_model/meshes/RB_Wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/RB_Wheel_link.STL,,轮-2,Origin_RB_Hub2RB_Wheel,Axis_RB_Hub2RB_Wheel,RB_Hub2RB_Wheel,continuous,0,-0.017,-0.025,0,0,0,RB_Hub_link,0,-1,0,,,,,,,,,,,,
Shim_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://car_model/meshes/Shim_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/Shim_link.STL,,垫高板-1;垫高板-2,Origin_car2Shim,,car2Shim,fixed,0.056999,0,0.005,0,0,0,car_link,0,0,0,,,,,,,,,,,,
Lidar_link,-9.42063322728753E-05,-8.40265579690053E-05,-0.0166017099082987,0,0,0,0.0324074072544886,1.07844929576609E-05,2.43580026216804E-09,-4.20827393221439E-09,1.0840997896253E-05,-1.61412034139863E-08,1.96321691985343E-05,0,0,0,0,0,0,package://car_model/meshes/Lidar_link.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://car_model/meshes/Lidar_link.STL,,C1M1_appearance_V2_20230926.3d_model.stp-1,Origin_Shim2Lidar,Axis_Shim2Lidar,Shim2Lidar,fixed,0,0,0.0365963779573637,0,0,0,Shim_link,0,0,0,,,,,,,,,,,,
